pmid,model,coef,hr,pvalue,qvalue_global
35593896,m1_plus_both,0.03188602221741559,1.0323998279558133,0.8842065310362363,0.9444128502389706
35626146,m1_clinical,0.31768709830435105,1.3739462838387986,0.4034406028421218,0.6254893067319718
35626146,m1_plus_tumor,0.29242804494544977,1.3396763366118212,0.44689461202104486,0.6584082681709685
35626146,m1_plus_normal,0.26652652339082233,1.3054222130997135,0.4924271208118878,0.6923404159042359
35626146,m1_plus_both,0.24597716654901022,1.2788703721843901,0.5299616887569232,0.7236704188356112
35646934,m1_clinical,-0.24234585679124088,0.784784707488906,0.10414532253685718,0.2913155875156844
35646934,m1_plus_tumor,-0.3662124916785826,0.6933554532910827,0.02776032665357857,0.12547040295402745
35646934,m1_plus_normal,-0.32672653542189906,0.721280960852985,0.035627566374227204,0.14844819322594668
35646934,m1_plus_both,-0.4645884112657414,0.6283936917345331,0.006851214764405385,0.04807870010109042
35669725,m1_clinical,-0.07255264223339083,0.9300167872108527,0.7622237213173751,0.8993790222033925
35669725,m1_plus_tumor,-0.05924108420921974,0.942479524834741,0.8060005447962366,0.9194269540738111
35669725,m1_plus_normal,-0.34946096245116137,0.7050680454552956,0.2482850210303327,0.471516724601349
35669725,m1_plus_both,-0.32656863545560816,0.7213948600844957,0.29048437095392843,0.5100742812344891
35730624,m1_clinical,0.33961959638827593,1.4044132450657827,0.06719381391411693,0.22122419830237722
35730624,m1_plus_tumor,0.3850872923002221,1.4697426130550557,0.04301434172591757,0.16757863345293642
35730624,m1_plus_normal,0.3137492787843201,1.3685465698698775,0.10716822597768783,0.29563648545569055
35730624,m1_plus_both,0.36738977825572633,1.4439606338982787,0.06821605860664408,0.22267475397575678
35804889,m1_clinical,-0.024151912340108387,0.9761374111756032,0.898932021365416,0.9547523026990652
35804889,m1_plus_tumor,-0.07665263437881584,0.9262115317773758,0.7042123086548181,0.8600065688975982
35804889,m1_plus_normal,-0.0969135118888073,0.9076345023324898,0.6326024588885546,0.8007626061880437
35804889,m1_plus_both,-0.1471216086463323,0.863188999787562,0.4861503767403873,0.6907998248531259
35846128,m1_clinical,-0.07229460760308849,0.9302567947125073,0.7555990552315016,0.895609631053056
35846128,m1_plus_tumor,-0.11443460769052773,0.8918702579671975,0.6320757232708798,0.8007626061880437
35846128,m1_plus_normal,-0.09079243049258305,0.9132072452058709,0.6979004509320283,0.855008209411367
35846128,m1_plus_both,-0.12565762302807876,0.8819167430832799,0.5997702011439908,0.7751965694361255
35918812,m1_clinical,-0.2110275624870342,0.8097517478016434,0.23054653966413788,0.4536249588564986
35918812,m1_plus_tumor,-0.21447851790527983,0.8069621467829761,0.22013675992808765,0.4436005237845595
35918812,m1_plus_normal,-0.2397430512456373,0.7868300100854586,0.17722159744318045,0.399372613956463
