"","Normal_urothelial","Myeloid","Tumor_epithelial","NK_cell","B_plasma","Endothelial","T_cell","Myofibroblast","Fibroblast"
"TCGA-E5-A4U1-01A-11R-A31N-07",0.12875475595328,0,0.723815254867929,0.00824657793436447,0,0.0355318102199451,0.0666459363167816,0.0267436723855779,0.0102619923221215
"TCGA-E7-A3X6-01A-12R-A22U-07",0.274624403086498,0.167689779912801,0.0586930085028139,0.000893345610991221,0,0.219315278868189,0.0140794958194358,0.17938804542358,0.0853166427756908
"TCGA-E7-A3Y1-01A-11R-A22U-07",0,0,0.900202166497534,0,0,0.0317969865236193,0,0.0322173540610737,0.0357834929177729
"TCGA-E7-A4IJ-01A-31R-A26T-07",0.546626272559993,0.0848150516410083,0,0,0.000195068671596388,0.10853106420129,0.149870947880032,0.0260392940456702,0.0839223010004096
"TCGA-E7-A4XJ-01A-11R-A26T-07",0.137062790301389,0,0.692150233155844,0,0,0.0566895222169916,0.00732517236339565,0.0495914996429626,0.0571807823194171
"TCGA-E7-A519-01A-11R-A26T-07",0.576391872626563,0.014052567476845,0.320295992514899,0.00688114514042624,0,0,0.00250909962346307,0.00761104623645957,0.0722582763813449
"TCGA-E7-A541-01A-11R-A26T-07",0.395740271786134,0.162833171569544,0,0.0194801659238772,0,0.119761325090605,0.109547807480108,0.108823730727792,0.0838135274219394
"TCGA-E7-A5KE-01A-11R-A28M-07",0.113204306149672,0,0.742231276753708,0,0,0.00142602925469678,0.0658874955318176,0.0172727109855057,0.0599781813246004
"TCGA-E7-A5KF-01A-11R-A28M-07",0.000280890367458992,0,0.955786740629731,0,0,0.0374768156120237,0,0.00645555339078591,0
"TCGA-E7-A677-01A-11R-A30C-07",0,0.0351156633469256,0.388204395940838,0,0,0.253581903828704,0,0.0564836001249707,0.266614436758562
"TCGA-E7-A678-01A-11R-A30C-07",0,0,0.922507965084361,0,0,0.0460871754177272,0.0154426439399826,0.0103359688077802,0.00562624675014896
"TCGA-E7-A6MD-01A-41R-A352-07",0.265898938278133,0.0485482667162601,0.111484666050446,0.00040358389039363,0,0.138843256593941,0,0.0629800300491006,0.371841258421726
"TCGA-E7-A6ME-01A-22R-A32O-07",0.241556976348227,0.219955666011754,0,0,0.000755576431500977,0.319702904440379,0.110776214301878,0.0582021944150776,0.0490504680511839
"TCGA-E7-A6MF-01A-12R-A32O-07",0,0,0.594005165715315,0,0,0.230158107997932,0.137800466379453,0.0113482571618006,0.0266880027455
"TCGA-E7-A7DU-01A-11R-A32O-07",0.0511505255193582,0,0.845461356875696,0,0,0.0310490798581505,0,0.0541764838264824,0.0181625539203131
"TCGA-E7-A7DV-01A-11R-A33J-07",0.066398802613659,0.492977499581284,0,0,0,0.115476999148567,0.0195405083497187,0.0392448834183263,0.266361306888445
"TCGA-E7-A7PW-01A-11R-A352-07",0.649997107434891,0.0109247799563599,0,0,0,0.0649189521269324,0.200576015084861,0.021450608425375,0.0521325369715799
"TCGA-E7-A7XN-01A-11R-A352-07",0.111818947744843,0.349200548250857,0.00498801909106102,0.0608739830827275,0,0.182728381682331,0.200531575076551,0.0791375459503358,0.0107209991212936
"TCGA-E7-A85H-01A-11R-A352-07",0.258639319186403,0.035661426700721,0.0548840607539133,0,0.00187433374271879,0.0981145915596904,0.400505414843845,0.0346761712751616,0.115644681937548
